word,frequency,Percentage frequency,,,"Total ingredients 97594, unique ingredients=3647 total recipes 4177"
salt,4424,1,,,
garlic,3991,0.902124774,,,
pepper,3346,0.756329114,,,
onion,3199,0.723101266,,,
oil,2828,0.639240506,,,
tomato,2750,0.621609403,,,
water,2520,0.569620253,,,
cheese,2434,0.550180832,,,
butter,1914,0.432640145,,,
egg,1869,0.422468354,,,
olive,1861,0.420660036,,,
flour,1530,0.345840868,,,
basil,1460,0.330018083,,,
sugar,1394,0.315099458,,,
olive oil,1249,0.282323689,,,
chicken,1218,0.275316456,,,
ginger,1025,0.231690778,,,
oregano,1010,0.228300181,,,
milk,1009,0.228074141,,,
cream,987,0.223101266,,,
parsley,986,0.222875226,,,
white sugar,930,0.210216998,,,
parmesan,846,0.191229656,,,
black pepper,794,0.179475588,,,
parmesan cheese,790,0.178571429,,,
mushroom,743,0.167947559,,,
lemon,726,0.164104882,,,
cilantro,705,0.159358047,,,
cumin,682,0.154159132,,,
beef,666,0.150542495,,,
vegetable oil,654,0.147830018,,,
turmeric,621,0.140370705,,,
wine,604,0.136528029,,,
carrot,594,0.134267631,,,
vanilla,525,0.118670886,,,
pasta,520,0.117540687,,,
cinnamon,506,0.11437613,,,
mozzarella,490,0.110759494,,,
,472,0.106690778,,,
chile,455,0.102848101,,,
bread,442,0.099909584,,,
potato,435,0.098327306,,,
thyme,415,0.09380651,,,
coriander,413,0.09335443,,,
spinach,413,0.09335443,,,
mozzarella cheese,409,0.092450271,,,
sausage,408,0.092224231,,,
vinegar,402,0.090867993,,,
celery,392,0.088607595,,,
rice,391,0.088381555,,,
zucchini,351,0.079339964,,,
red pepper,348,0.078661844,,,
bean,343,0.077531646,,,
almond,341,0.077079566,,,
cornstarch,338,0.076401447,,,
salt pepper,319,0.072106691,,,
spaghetti,316,0.071428571,,,
coconut,315,0.071202532,,,
rosemary,315,0.071202532,,,
pork,307,0.069394213,,,
yogurt,271,0.061256781,,,
lemon juice,264,0.059674503,,,
cardamom,252,0.056962025,,,
nutmeg,250,0.056509946,,,
white wine,248,0.056057866,,,
yeast,242,0.054701627,,,
paprika,234,0.052893309,,,
ricotta,232,0.05244123,,,
lime,230,0.05198915,,,
cayenne,229,0.05176311,,,
green onion,225,0.050858951,,,
cayenne pepper,221,0.049954792,,,
garlic powder,221,0.049954792,,,
chicken broth,221,0.049954792,,,
bacon,214,0.048372514,,,
tomato sauce,212,0.047920434,,,
eggplant,210,0.047468354,,,
masala,204,0.046112116,,,
pea,199,0.044981917,,,
shrimp,194,0.043851718,,,
soy sauce,190,0.042947559,,,
bay,188,0.042495479,,,
shallot,188,0.042495479,,,
honey,186,0.0420434,,,
cumin seed,181,0.040913201,,,
ricotta cheese,181,0.040913201,,,
garam masala,179,0.040461121,,,
peanut,177,0.040009042,,,
powder,174,0.039330922,,,
noodle,170,0.038426763,,,
curry powder,164,0.037070524,,,
raisin,160,0.036166365,,,
bread crumb,158,0.035714286,,,
broccoli,156,0.035262206,,,
chili,153,0.034584087,,,
red onion,148,0.033453888,,,
mint,146,0.033001808,,,
chocolate,144,0.032549729,,,
confectioner sugar,142,0.032097649,,,
yolk,138,0.03119349,,,
egg yolk,137,0.03096745,,,
caper,136,0.03074141,,,
prosciutto,136,0.03074141,,,
balsamic,131,0.029611212,,,
salad,131,0.029611212,,,
sage,128,0.028933092,,,
walnut,127,0.028707052,,,
mayonnaise,126,0.028481013,,,
brown sugar,123,0.027802893,,,
nut,123,0.027802893,,,
corn,121,0.027350814,,,
black olive,121,0.027350814,,,
kosher,120,0.027124774,,,
balsamic vinegar,113,0.025542495,,,
ham,113,0.025542495,,,
coconut milk,112,0.025316456,,,
margarine,112,0.025316456,,,
plum,112,0.025316456,,,
red wine,111,0.025090416,,,
cauliflower,109,0.024638336,,,
kosher salt,109,0.024638336,,,
soda,105,0.023734177,,,
pesto,105,0.023734177,,,
dough,103,0.023282098,,,
pepperoni,103,0.023282098,,,
chili powder,102,0.023056058,,,
lasagna,102,0.023056058,,,
cashew,101,0.022830018,,,
fish,100,0.022603978,,,
egg white,100,0.022603978,,,
apple,100,0.022603978,,,
shortening,99,0.022377939,,,
anise,99,0.022377939,,,
rom,97,0.021925859,,,
sesame oil,97,0.021925859,,,
sherry,97,0.021925859,,,
